time,current_power,total_power
1660226696.9083169,3728.0,12056.0
1660226708.9025056,3728.0,12056.0
1660226715.3362286,3728.0,12056.0
1660226725.7331889,3728.0,12056.0
1660226738.168658,3730.0,12056.0
1660226749.6442716,3730.0,12056.0
1660226762.233196,3730.0,12056.0
1660226772.6124115,3730.0,12056.0
1660226782.9725602,3730.0,12056.0
1660226795.4253209,3716.0,12056.0
1660226807.9326806,3716.0,12056.0
1660226820.4314876,3716.0,12056.0
1660226832.8976054,3716.0,12056.0
1660226845.404019,3716.0,12056.0
1660226859.1935492,3725.0,12056.0
1660226869.5441148,3725.0,12056.0
1660226882.0742607,3725.0,12056.0
1660226893.1215086,3725.0,12056.0
1660226905.5958233,3725.0,12056.0
1660226918.081918,3725.0,12056.0
1660226930.6122615,3736.0,12056.0
1660226942.1049294,3736.0,12056.0
1660226954.59144,3736.0,12056.0
1660226966.9337926,3736.0,12056.0
1660226979.4444137,3736.0,12056.0
